bed rooms,baths,square feet,address,price
1,1,647,"7021 N Greenview Avenue , G Chicago, IL 60626",155000
2,2,1380,"520 W Huron Street Unit 320 Chicago, IL 60654",545000
3,2,1400,"7611 W Bloomingdale Avenue Elmwood Park, IL 60707",418900
6,3,2113,"9412 S Eberhart Avenue Chicago, IL 60619",335000
2,2,1150,"1540 N State Parkway Unit 11A Chicago, IL 60610",334500
2,2,1200,"1841 S Calumet Avenue Unit 1805 Chicago, IL 60616",439900
1,1,800,"3938 N Austin Avenue Unit 1S Chicago, IL 60634",135000
2,2,1400,"2020 N Lincoln Park West Unit 28KL Chicago, IL 60614",575000
2,2,1102,"2020 N Lincoln Park West Unit 13M Chicago, IL 60614",449000
4,2,3125,"8406 S Kingston Avenue Chicago, IL 60617",165000
1,1,800,"1850 N Clark Street Unit 405 Chicago, IL 60614",239500
1,1,800,"1850 N Clark Street Unit 2202 Chicago, IL 60614",305000
2,2,1100,"1850 N Clark Street Unit 2509 Chicago, IL 60614",390000
2,1,1400,"7319 W Summerdale Avenue Chicago, IL 60656",390000
3,2,2694,"645 W Bittersweet Place 1 Chicago, IL 60613",645000
4,4,2400,"1442 W 105TH Street Chicago, IL 60643",579900
2,2,1003,"320 E 21st Street 215 Chicago, IL 60616",365000
5,2,2661,"1524 N Keating Avenue Chicago, IL 60651",354900
5,2,3135,"6241 S Richmond Street Chicago, IL 60629",334900
5,2,1410,"4416 W 129th Street Alsip, IL 60803",289900
2,2,1200,"5415 N Sheridan Road 911 Chicago, IL 60640",262000
2,2,1600,"13816 S Atlantic Street Riverdale, IL 60827",205000
2,1,1061,"5529 S University Avenue 1W Chicago, IL 60637",170000
2,1,1782,"9752 S Drexel Avenue Chicago, IL 60628",165000
4,1,840,"10141 S EMERALD Avenue Chicago, IL 60628",63000
2,1,1000,"6565 N Harlem Avenue Unit 3N Chicago, IL 60631",230000
2,2,1260,"1310 N Cleaver Street , 2 Chicago, IL 60642",429555
2,1,1600,"2422 W 83rd Street Chicago, IL 60652",239900
6,4,5000,"2641 N WAYNE Avenue Chicago, IL 60614",2150000
6,4,4600,"5810 N Paulina Street Chicago, IL 60660",1894000
6,4,4600,"5812 N Paulina Street Chicago, IL 60660",1894000
5,4,5000,"1424 W Lexington Street Chicago, IL 60607",1600000
4,3,4000,"1438 N North Park Avenue 1 Chicago, IL 60610",1299000
3,4,6131,"8655 S Wabash Avenue Chicago, IL 60619",895995
2,2,1450,"1211 S Prairie Avenue 2003 Chicago, IL 60605",825000
3,3,2300,"Chicago, IL 60613",799999
4,3,4400,"4951 S Vincennes Avenue Chicago, IL 60615",777000
3,2,2400,"1058 N Hermitage Avenue 1 Chicago, IL 60622",720000
2,2,1586,"420 E WATERSIDE Drive 1312 Chicago, IL 60601",715000
4,2,2600,"7149 N Overhill Avenue Chicago, IL 60631",669900
6,3,2227,"6522 W Byron Street Chicago, IL 60634",620000
4,2,3023,"3005 N Washtenaw Avenue Chicago, IL 60618",597500
3,2,1604,"3025 N California Avenue 2SE Chicago, IL 60618",580000
3,1,1643,"8037 W Eastwood Avenue Norridge, IL 60706",505000
3,2,1028,"7408 W Ainslie Street Harwood Heights, IL 60706",495000
2,2,2000,"3256 S Morgan Street Chicago, IL 60608",452000
3,2,1500,"1901 N New England Avenue Chicago, IL 60707",410000
3,2,1900,"6145 N Sheridan Road 19D Chicago, IL 60660",405000
3,3,1928,"2504 N 73rd Avenue Elmwood Park, IL 60707",389000
